ID,Path,Size,MimeType,AgeDays,Score,RetentionBand,TargetPath,Operation,Snippet,Ext
1AwyAMFwhyfQnlWtRivftL-bnCrNQ1rXs,1.Organize/Twister/Product /Copy of CDE_ProductMngmnt_CCA - 2021.xlsx,1141480,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1482,40.6,archive_candidate,03-Archive/Career & Past Work/Softvision/Copy of CDE_ProductMngmnt_CCA - 2021.xlsx,move,,.xlsx
1idty06g7ALbDHstvmFkc9CDnmiqoO7Hb,1.Organize/Twister/Product /Product Marketing Brief - GoP-2.xlsx,42288,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1484,70.5,review,02-Review/Career & Past Work/Softvision/Product Marketing Brief - GoP-2.xlsx,move,,.xlsx
1eBfSWCr3SEEejG-wnXM3eawoOXRXDK8U,1.Organize/Twister/Product /drive-download-20220211T232338Z-001.zip,168646234,application/zip,1484,50.5,review,02-Review/Career & Past Work/Softvision/drive-download-20220211T232338Z-001.zip,move,,.zip
1GgIZMk1lrV-QZbRHZhJfcJcPb1THF1MG,1.Organize/Twister/Product Discovery/Discovery Workshops-20220211T232114Z-001.zip,166007309,application/zip,1484,50.5,review,02-Review/Career & Past Work/Softvision/Discovery Workshops-20220211T232114Z-001.zip,move,,.zip
1_PnInIOqnxkBtcHOepUjyJHycuGQOmof,1.Organize/Twister/dt/Screen Shot 2022-02-11 at 3.10.30 PM.png,114639,image/png,1484,50.5,review,02-Review/Media & Assets/Screen Shot 2022-02-11 at 3.10.30 PM.png,move,,.png
1rrOKTum8VogoKrX6W41sL3DYmrJXId-s,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-08-24 at 12.13.16 PM.png,1106373,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-08-24 at 12.13.16 PM.png,move,,.png
1px4D4WTI-Rp5050ZD8BQX9IgI-E2OFRg,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-08-24 at 3.33.02 AM.png,139382,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-08-24 at 3.33.02 AM.png,move,,.png
1NgQ-7ZFTPmRTCrTC00IuuA4IM3u2jgPZ,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-08-24 at 3.29.05 AM.png,123819,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-08-24 at 3.29.05 AM.png,move,,.png
1WCzoitwMjuckxV-rCeZOfwhbhHZZm-Sa,1.Organize/Twister/dt/Product Mindset/Ally bank - withdrawls .png,75063,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/Ally bank - withdrawls .png,move,,.png
1Ul3bh7K0NqJ6kXGxjXpRO-dRnKpCwF5x,1.Organize/Twister/dt/Product Mindset/smartchildsupport - online payments.png,496176,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/smartchildsupport - online payments.png,move,,.png
1n_vUY1dC2NGRxlqgxkLIXklq2BNfxk8v,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-08-23 at 5.09.31 PM.png,432156,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-08-23 at 5.09.31 PM.png,move,,.png
17jHBZMUkFz4B41FY5GLvi-cZl0uCBKCx,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-08-23 at 4.36.18 PM.png,75914,image/png,1656,44.8,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-08-23 at 4.36.18 PM.png,move,,.png
12feu3D00_tlpfR1J_Dx8zZfc4mCXmN-h,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-20 at 8.56.45 PM.png,1445109,image/png,1690,43.7,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-20 at 8.56.45 PM.png,move,,.png
18xGpELIO1JIJJtjTKkKbZ1bqL4XJ0Fow,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-20 at 8.55.16 PM.png,492868,image/png,1690,43.7,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-20 at 8.55.16 PM.png,move,,.png
1bANfAUoY-k9oZMFODCy-R_QfjjNGhHh2,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-20 at 3.44.39 PM.png,388100,image/png,1690,43.7,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-20 at 3.44.39 PM.png,move,,.png
1jxQNLSPkzfuFcYxuF26YH8xrk5ql8Fjl,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-07-15 at 7.50.51 PM.png,57516,image/png,1695,43.5,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-07-15 at 7.50.51 PM.png,move,,.png
